hashtag_1,hashtag_2,count
#Erdogan,#MakkahPact,2
#MakkahPact,#Trump,2
#India,#Trump,2
#Trump,#USA,2
#Iran,#ShehbazSharif,2
#PakistanTV,#RegionalSecurity,2
#Geopolitics,#GlobalPolitics,2
#GlobalPolitics,#MiddleEast,2
#GlobalPolitics,#Pakistan,2
#GlobalPolitics,#SaudiArabia,2
#IslamicNATO,#Pakistan,2
#IslamicNATO,#SaudiArabia,2
#MeccaPact,#TheWorldCorrespondent,2
#saudiarabia,#turkiye,2
#BREAKING,#SaudiArabia,2
#BREAKING,#Yemen,2
#MiddleEast,#TurkeyPakistan,2
#Pakistan,#TurkeyPakistan,2
#RegionalSecurity,#TurkeyPakistan,2
#SaudiArabia,#TurkeyPakistan,2
#AbrahamAccords,#MeccaPact,2
#Iran,#TheHardFacts,2
#MiddleEast,#ShehbazSharif,2
#MiddleEast,#TheHardFacts,2
#Pakistan,#TheHardFacts,2
#SaudiArabia,#TheHardFacts,2
#ShehbazSharif,#TheHardFacts,2
#DefencePact,#TurkeyPakistan,2
#DonaldTrump,#RegionalSecurity,2
#Pakistan,#TVOneUSA,2
#Geopolitics,#NationalSecurity,2
#India,#NationalSecurity,2
#NationalSecurity,#Pakistan,2
#NationalSecurity,#SaudiArabia,2
#NationalSecurity,#Turkey,2
#KSA,#Turkey,2
#IranWar‌,#USA,2
#Egypt,#MiddleEast,2
#Egypt,#Israel,2
#Egypt,#MakkahDefencePact,2
#Geopolitics,#IndiaSecurity,2
#Geopolitics,#TurkeyPakistan,2
#IndiaSecurity,#Pakistan,2
#IndiaSecurity,#SaudiArabia,2
#IndiaSecurity,#Turkey,2
#BREAKING,#Pakistan,2
#AyeshaSiddiqa,#LondonVarta,2
#AyeshaSiddiqa,#MakkahDefencePact,2
#SaudiArabia,#WorldNews,2
#Egypt,#MiddleEastSecurity,2
#Egypt,#PeaceTreaty,2
#Israel,#PeaceTreaty,2
#MakkahDefencePact,#PeaceTreaty,2
#MiddleEastSecurity,#PeaceTreaty,2
#EU,#USA,2
#Iran,#Iranian,2
#Iranian,#Pakistan,2
#Turkey,#TurkeyPakistan,2
#MeccaAgreement,#MeccaDefencePact,2
#MeccaAgreement,#Trump,2
#MeccaDefencePact,#Trump,2
#Mecca,#USA,2
#BreakingNews,#Turkiye,2
#MakkahPact,#Yemen,2
#MiddleEast,#WorldNews,2
#Pakistan,#WorldNews,2
#Cyprus,#Greece,2
#Cyprus,#India,2
#Cyprus,#Israel,2
#AyeshaSiddiqa,#MiddleEastSecurity,2
#AyeshaSiddiqa,#MuslimNATO,2
#AyeshaSiddiqa,#TurkeyPakistanSaudi,2
#Geopolitics,#LondonVarta,2
#Geopolitics,#MuslimNATO,2
#Geopolitics,#TurkeyPakistanSaudi,2
#LondonVarta,#MakkahDefencePact,2
#LondonVarta,#MiddleEastSecurity,2
#LondonVarta,#MuslimNATO,2
#IranWar,#SaudiArabia,2
#MiddleEastSecurity,#Turkey,2
#Defence,#Turkiye,2
#ForeignPolicy,#Geopolitics,2
#ForeignPolicy,#MiddleEast,2
#ForeignPolicy,#Pakistan,2
#ForeignPolicy,#SaudiArabia,2
#Au79Macro,#DefenseTech,2
#Au79Macro,#Inflation,2
#Au79Macro,#MacroRisk,2
#Au79Macro,#SupplyChain,2
#DefenseTech,#Geopolitics,2
#DefenseTech,#GlobalTrade,2
#BreakingNews,#Yemen,2
#BreakingNews,#Houthis,2
#BreakingNews,#MakkahPact,2
#Greece,#MakkahAgreement,1
#IranWar,#RedSea,1
#IranWar,#MakkahMutualDefenceAgreement,1
#Iran,#SouthAsia,1
#Iran,#RedSea,1
